intent,intent_size,dimensions,n_customers,support,stability_proxy
F1@0.3 & F1@0.5 & F1@0.7 & R3@0.3 & R3@0.5 & R3@0.7,6,FR,13667,0.1463950212624656,0.9981707763225287
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3 & R4@0.5 & S5@0.3 & S5@0.5,7,FRS,13573,0.14538813372323448,0.9996316216017093
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3 & R4@0.5 & S5@0.3 & S5@0.5 & S5@0.7,8,FRS,13572,0.14537742215366817,0.9996315944591807
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & S5@0.3 & S5@0.5 & S5@0.7,7,FMS,13452,0.14409203380571356,0.9988849241748439
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3,4,FM,13151,0.1408678513662607,0.9942970116340962
M1@0.3 & R5@0.3,2,MR,12905,0.13823280525295373,0.9972878729174739
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R5@0.3,5,FMR,12828,0.1374080143963495,0.9984409105082632
M2@0.3 & R4@0.3,2,MR,12668,0.13569416326574332,0.9940795705715187
M1@0.3 & M1@0.5 & R4@0.3,3,MR,12642,0.13541566245701983,0.9981806676158835
M1@0.3 & R3@0.3,2,MR,12631,0.13529783519179064,0.9965165070065711
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & R4@0.3,6,FMR,12595,0.13491221868740427,0.9988090512107979
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R3@0.3,5,FMR,12573,0.13467656415694593,0.9976139346218086
R5@0.3 & R5@0.5 & R5@0.7 & S5@0.3,4,RS,12545,0.13437664020908985,0.9986448784376245
R5@0.3 & R5@0.5 & R5@0.7 & S5@0.3 & S5@0.5,5,RS,12540,0.1343230823612584,0.9986443381180223
R5@0.3 & R5@0.5 & R5@0.7 & S5@0.3 & S5@0.5 & S5@0.7,6,RS,12449,0.13334832953072615,0.9986344284681501
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R4@0.3,5,FMR,12412,0.13295200145677347,0.9963744763132453
F1@0.3 & F1@0.5 & F1@0.7 & R5@0.3 & R5@0.5 & R5@0.7 & S5@0.3 & S5@0.5 & S5@0.7,9,FRS,12107,0.12968497273905547,0.9995870157759974
R2@0.3 & S5@0.3,2,RS,11996,0.12849598851719743,0.9967489163054352
R2@0.3 & S5@0.3 & S5@0.5,3,RS,11991,0.12844243066936598,0.9967475606705029
M1@0.3 & M2@0.3,2,M,11978,0.12830318026500423,0.992736683920521
R2@0.3 & S5@0.3 & S5@0.5 & S5@0.7,4,RS,11940,0.12789614062148527,0.9969011725293132
R3@0.3 & R3@0.5 & S5@0.3,3,RS,11889,0.12734985057360454,0.9976448818235344
R3@0.3 & R3@0.5 & S5@0.3 & S5@0.5,4,RS,11886,0.12731771586490567,0.9976442873969376
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M2@0.3,5,FM,11838,0.12680356052572384,0.9957763135664808
R3@0.3 & R3@0.5 & S5@0.3 & S5@0.5 & S5@0.7,5,RS,11816,0.1265679059952655,0.9977995937711578
F1@0.3 & F1@0.5 & F1@0.7 & R2@0.3 & S5@0.3 & S5@0.5,6,FRS,11655,0.12484334329509303,0.9986271986271986
F1@0.3 & F1@0.5 & F1@0.7 & R2@0.3 & S5@0.3 & S5@0.5 & S5@0.7,7,FRS,11653,0.12482192015596046,0.9986269630138161
F1@0.3 & F1@0.5 & F1@0.7 & R3@0.3 & R3@0.5 & S5@0.3 & S5@0.5,7,FRS,11509,0.1232794541384149,0.9991311147797376
M2@0.3 & R5@0.3,2,MR,11506,0.12324731942971603,0.995046062923692
F1@0.3 & F1@0.5 & F1@0.7 & R3@0.3 & R3@0.5 & S5@0.3 & S5@0.5 & S5@0.7,8,FRS,11506,0.12324731942971603,0.9991308882322266
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R5@0.3,5,FMR,11260,0.12061227331640906,0.9973357015985791
R4@0.3 & R5@0.3,2,R,11165,0.11959467420761165,0.9898790864308106
M2@0.3 & R3@0.3,2,MR,11076,0.11864134451621196,0.9932286023835319
M1@0.3 & R4@0.3 & R4@0.5,3,MR,11015,0.11798793877266836,0.9982750794371312
M1@0.3 & M1@0.5 & R5@0.3,3,MR,10993,0.11775228424221001,0.9983625943782407
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R4@0.3 & R4@0.5,6,FMR,10956,0.11735595616825734,0.9990872581234027
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & R5@0.3,6,FMR,10939,0.11717385948563043,0.9990858396562757
M1@0.3 & M1@0.5 & R3@0.3,3,MR,10879,0.11653116531165311,0.9979777553083923
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & R3@0.3,6,FMR,10843,0.11614554880726673,0.9986166190168773
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R3@0.3,5,FMR,10842,0.11613483723770043,0.995941708171924
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3 & R5@0.3,5,FR,10818,0.11587775956810951,0.9953780735810686
M1@0.3 & R5@0.3 & R5@0.5,3,MR,10751,0.11516008440716818,0.9983257371407311
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R5@0.3 & R5@0.5,6,FMR,10689,0.11449596709405829,0.9990644587894096
M3@0.3 & M3@0.5 & M3@0.7,3,M,10675,0.11434600512013025,0.9945667447306792
M1@0.3 & M1@0.5 & M1@0.7 & R4@0.3,4,MR,10652,0.11409963902010561,0.9979346601577168
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7 & R4@0.3,7,FMR,10623,0.11378900350268324,0.9985879695001412
R1@0.3,1,R,10425,0.11166811272855812,0.9895443645083933
M4@0.3 & M4@0.5,2,M,10420,0.11161455488072668,0.9883877159309021
M3@0.3 & M3@0.5 & S5@0.3,3,MS,10227,0.10954722195443298,0.9967732472865943
M3@0.3 & M3@0.5 & S5@0.3 & S5@0.5,4,MS,10222,0.10949366410660154,0.996771668949325
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & M3@0.7,6,FM,10216,0.1094293946892038,0.9974549725920125
F1@0.3 & F1@0.5 & F1@0.7 & R1@0.3,4,FR,10214,0.10940797155007123,0.9951047581750538
M3@0.3 & M3@0.5 & S5@0.3 & S5@0.5 & S5@0.7,5,MS,10141,0.10862602697173217,0.996745883049009
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & S5@0.3 & S5@0.5 & S5@0.7,8,FMS,9745,0.1043842454234819,0.9984607491021037
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5,5,FM,9568,0.10248829761024883,0.9947742474916388
M2@0.3 & R5@0.3 & R5@0.5,3,MR,9520,0.10197414227106698,0.9968487394957983
M1@0.3 & M1@0.5 & R4@0.3 & R4@0.5,4,MR,9473,0.10147069850145142,0.9989443682043703
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & R4@0.3 & R4@0.5,7,FMR,9436,0.10107437042749874,0.9994701144552777
M2@0.3 & M2@0.5 & R4@0.3,3,MR,9334,0.0999817903317373,0.996035997428755
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R5@0.3 & R5@0.5,6,FMR,9321,0.09984253992737556,0.9983907306083039
M2@0.3 & R4@0.3 & R4@0.5,3,MR,9230,0.0988677870968433,0.9965330444203684
M1@0.3 & M1@0.5 & M1@0.7 & R5@0.3,4,MR,9213,0.09868569041421639,0.9981547812873114
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7 & R5@0.3,7,FMR,9180,0.09833220861852887,0.9989106753812637
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & R4@0.3,6,FMR,9141,0.09791445740544362,0.9973744666885461
M1@0.3 & M1@0.5 & R5@0.3 & R5@0.5,4,MR,9137,0.09787161112717846,0.9990149939805187
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & R5@0.3 & R5@0.5,7,FMR,9093,0.09740030206626177,0.9994501264709117
M3@0.3 & R4@0.3,2,MR,9043,0.09686472358794734,0.990600464447639
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R4@0.3 & R4@0.5,6,FMR,9035,0.09677903103141704,0.9983397897066962
M1@0.3 & R3@0.3 & R3@0.5,3,MR,8963,0.09600779802264425,0.9968760459667522
S1@0.3,1,S,8937,0.09572929721392076,0.9935101264406401
S1@0.3 & S1@0.5,2,S,8933,0.0956864509356556,0.9937311093697526
M2@0.3 & M2@0.5 & M2@0.7 & S5@0.3 & S5@0.5,5,MS,8928,0.09563289308782416,0.9984318996415771
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R3@0.3 & R3@0.5,6,FMR,8920,0.09554720053129385,0.9977578475336323
S1@0.3 & S1@0.5 & S1@0.7,3,S,8916,0.0955043542530287,0.993719156572454
M2@0.3 & M2@0.5 & M2@0.7 & S5@0.3 & S5@0.5 & S5@0.7,6,MS,8894,0.09526869972257035,0.9986507758039127
F1@0.3 & F1@0.5 & F1@0.7 & S1@0.3 & S1@0.5,5,FS,8813,0.09440106258770098,0.9969363440372178
F1@0.3 & F1@0.5 & F1@0.7 & S1@0.3 & S1@0.5 & S1@0.7,6,FS,8812,0.09439035101813469,0.9969359963685883
M1@0.3 & R2@0.3,2,MR,8787,0.09412256177897747,0.9951064071924434
M1@0.3 & M1@0.5 & M1@0.7 & R3@0.3,4,MR,8738,0.09359769487022933,0.9975967040512703
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R2@0.3,5,FMR,8737,0.09358698330066305,0.9965663271145703
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7 & R3@0.3,7,FMR,8721,0.09341559818760244,0.99828001375989
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & M2@0.7 & S5@0.3 & S5@0.5 & S5@0.7,9,FMS,8721,0.09341559818760244,0.9994266712532967
R2@0.3 & R2@0.5 & S5@0.3,3,RS,8720,0.09340488661803614,0.9970183486238532
R2@0.3 & R2@0.5 & S5@0.3 & S5@0.5,4,RS,8717,0.09337275190933728,0.997017322473328
R2@0.3 & R2@0.5 & S5@0.3 & S5@0.5 & S5@0.7,5,RS,8687,0.09305140482234862,0.997007021986877
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & R4@0.3,5,FMR,8644,0.09259080733099821,0.9947940768162887
M1@0.3 & R4@0.3 & S5@0.3 & S5@0.5,4,MRS,8596,0.09207665199181636,0.9986040018613308
M1@0.3 & R4@0.3 & S5@0.3 & S5@0.5 & S5@0.7,5,MRS,8580,0.09190526687875575,0.9986013986013986
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R4@0.3 & S5@0.3 & S5@0.5,7,FMRS,8543,0.09150893880480307,0.999297670607515
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R4@0.3 & S5@0.3 & S5@0.5 & S5@0.7,8,FMRS,8541,0.0914875156656705,0.9992975061468212
F1@0.3 & F1@0.5 & F1@0.7 & R2@0.3 & R2@0.5 & S5@0.3 & S5@0.5 & S5@0.7,8,FRS,8482,0.09085553306125947,0.9987031360528177
M2@0.3 & M2@0.5 & R5@0.3,3,MR,8481,0.09084482149169318,0.9963447706638369
M2@0.3 & M3@0.3,2,M,8313,0.0890452778045567,0.9876097678335137
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & R5@0.3,6,FMR,8301,0.08891673896976124,0.9977111191422721
M1@0.3 & R5@0.3 & R5@0.5 & R5@0.7,4,MR,8290,0.08879891170453207,0.9978287092882991
M1@0.3 & R5@0.3 & S5@0.3 & S5@0.5,4,MRS,8285,0.08874535385670063,0.9989136994568497
M1@0.3 & R5@0.3 & S5@0.3 & S5@0.5 & S5@0.7,5,MRS,8271,0.08859539188277259,0.998911860718172
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R5@0.3 & R5@0.5 & R5@0.7,7,FMR,8244,0.08830617950448279,0.9987869966035905
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R5@0.3 & S5@0.3 & S5@0.5,7,FMRS,8234,0.08819906380881991,0.9995142093757591
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R5@0.3 & S5@0.3 & S5@0.5 & S5@0.7,8,FMRS,8233,0.08818835223925361,0.9995141503704603
M1@0.3 & S4@0.3 & S4@0.5,3,MS,8220,0.08804910183489187,0.9953771289537713
R2@0.3 & R2@0.5 & R2@0.7,3,R,8213,0.08797412084792784,0.9931815414586631
M4@0.3 & S5@0.3,2,MS,8195,0.08778131259573466,0.9941427699816962
M4@0.3 & S5@0.3 & S5@0.5,3,MS,8187,0.08769562003920435,0.9941370465371931
M1@0.3 & S4@0.3 & S4@0.5 & S4@0.7,4,MS,8170,0.08751352335657744,0.9975520195838433
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & S4@0.3 & S4@0.5,6,FMS,8139,0.0871814647000225,0.9984027521808576
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & S4@0.3 & S4@0.5 & S4@0.7,7,FMS,8135,0.08713861842175734,0.9987707437000615
M4@0.3 & S5@0.3 & S5@0.5 & S5@0.7,4,MS,8071,0.08645307796951487,0.994176681947714
M3@0.3 & R5@0.3,2,MR,8062,0.08635667384341827,0.9925576779955346
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M3@0.3,5,FM,8057,0.08630311599558683,0.9937942162095073
M2@0.3 & R3@0.3 & R3@0.5,3,MR,8030,0.08601390361729704,0.9938978829389788
R1@0.3 & R1@0.5,2,R,8020,0.08590678792163416,0.9876558603491272
